sku,title,description,category,material,origin_district,price_rwf,artisan_id
RW-1265,Copper Bangle Rwanda,Hand-beaten copper bangle made by local Rwandan artisans,jewellery,beads,Huye,16910,ART-016
RW-1266,Silver Earrings Kigali,Elegant silver earrings crafted by skilled Rwandan jewelers cooperative,jewellery,silver,Rubavu,135124,ART-017
RW-1267,Bone Bracelet Rwanda,Traditional bone bracelet handcarved by skilled Rwanda artisan,jewellery,copper,Muhanga,23000,ART-018
RW-1268,Wooden Bead Necklace,Natural wooden bead necklace from sustainable Rwandan forest materials,jewellery,bone,Kimironko,50712,ART-019
RW-1269,Beaded Anklet Kigali,Colorful beaded anklet handmade in Kigali cooperative workshop,jewellery,wood,Kicukiro,19962,ART-020
RW-1270,Copper Ring Rwanda,Handcrafted copper ring made by skilled Kigali artisans,jewellery,beads,Gasabo,19815,ART-021
RW-1271,Beaded Hair Pins,Traditional beaded hair pins made by Rwandan women cooperative,jewellery,silver,Musanze,63657,ART-022
RW-1272,Rwandan Beaded Necklace,Colorful beaded necklace handmade by Kigali women cooperative artisans,jewellery,copper,Huye,107847,ART-023
RW-1273,Copper Bangle Rwanda,Hand-beaten copper bangle made by local Rwandan artisans,jewellery,bone,Rubavu,33427,ART-024
RW-1274,Silver Earrings Kigali,Elegant silver earrings crafted by skilled Rwandan jewelers cooperative,jewellery,wood,Muhanga,66543,ART-025
RW-1275,Bone Bracelet Rwanda,Traditional bone bracelet handcarved by skilled Rwanda artisan,jewellery,beads,Kimironko,12418,ART-026
RW-1276,Wooden Bead Necklace,Natural wooden bead necklace from sustainable Rwandan forest materials,jewellery,silver,Kicukiro,23491,ART-027
RW-1277,Beaded Anklet Kigali,Colorful beaded anklet handmade in Kigali cooperative workshop,jewellery,copper,Gasabo,111897,ART-028
RW-1278,Copper Ring Rwanda,Handcrafted copper ring made by skilled Kigali artisans,jewellery,bone,Musanze,139044,ART-029
RW-1279,Beaded Hair Pins,Traditional beaded hair pins made by Rwandan women cooperative,jewellery,wood,Huye,84934,ART-030
RW-1280,Rwandan Beaded Necklace,Colorful beaded necklace handmade by Kigali women cooperative artisans,jewellery,beads,Rubavu,70358,ART-031
RW-1281,Copper Bangle Rwanda,Hand-beaten copper bangle made by local Rwandan artisans,jewellery,silver,Muhanga,55545,ART-032
RW-1282,Silver Earrings Kigali,Elegant silver earrings crafted by skilled Rwandan jewelers cooperative,jewellery,copper,Kimironko,84361,ART-033
RW-1283,Bone Bracelet Rwanda,Traditional bone bracelet handcarved by skilled Rwanda artisan,jewellery,bone,Kicukiro,64570,ART-034
RW-1284,Wooden Bead Necklace,Natural wooden bead necklace from sustainable Rwandan forest materials,jewellery,wood,Gasabo,71629,ART-035
RW-1285,Beaded Anklet Kigali,Colorful beaded anklet handmade in Kigali cooperative workshop,jewellery,beads,Musanze,105752,ART-036
RW-1286,Copper Ring Rwanda,Handcrafted copper ring made by skilled Kigali artisans,jewellery,silver,Huye,36308,ART-037
RW-1287,Beaded Hair Pins,Traditional beaded hair pins made by Rwandan women cooperative,jewellery,copper,Rubavu,80642,ART-038
RW-1288,Rwandan Beaded Necklace,Colorful beaded necklace handmade by Kigali women cooperative artisans,jewellery,bone,Muhanga,121858,ART-039
RW-1289,Copper Bangle Rwanda,Hand-beaten copper bangle made by local Rwandan artisans,jewellery,wood,Kimironko,84883,ART-040
RW-1290,Silver Earrings Kigali,Elegant silver earrings crafted by skilled Rwandan jewelers cooperative,jewellery,beads,Kicukiro,21016,ART-041
RW-1291,Bone Bracelet Rwanda,Traditional bone bracelet handcarved by skilled Rwanda artisan,jewellery,silver,Gasabo,4441,ART-042
RW-1292,Wooden Bead Necklace,Natural wooden bead necklace from sustainable Rwandan forest materials,jewellery,copper,Musanze,122136,ART-043
RW-1293,Beaded Anklet Kigali,Colorful beaded anklet handmade in Kigali cooperative workshop,jewellery,bone,Huye,149585,ART-044
RW-1294,Copper Ring Rwanda,Handcrafted copper ring made by skilled Kigali artisans,jewellery,wood,Rubavu,28209,ART-045
RW-1295,Beaded Hair Pins,Traditional beaded hair pins made by Rwandan women cooperative,jewellery,beads,Muhanga,21204,ART-046
RW-1296,Rwandan Beaded Necklace,Colorful beaded necklace handmade by Kigali women cooperative artisans,jewellery,silver,Kimironko,142937,ART-047
RW-1297,Copper Bangle Rwanda,Hand-beaten copper bangle made by local Rwandan artisans,jewellery,copper,Kicukiro,57877,ART-048
RW-1298,Silver Earrings Kigali,Elegant silver earrings crafted by skilled Rwandan jewelers cooperative,jewellery,bone,Gasabo,134614,ART-049
RW-1299,Bone Bracelet Rwanda,Traditional bone bracelet handcarved by skilled Rwanda artisan,jewellery,wood,Musanze,71520,ART-050
RW-1300,Wooden Bead Necklace,Natural wooden bead necklace from sustainable Rwandan forest materials,jewellery,beads,Huye,36722,ART-001
RW-1301,Beaded Anklet Kigali,Colorful beaded anklet handmade in Kigali cooperative workshop,jewellery,silver,Rubavu,93490,ART-002
RW-1302,Copper Ring Rwanda,Handcrafted copper ring made by skilled Kigali artisans,jewellery,copper,Muhanga,20033,ART-003
RW-1303,Beaded Hair Pins,Traditional beaded hair pins made by Rwandan women cooperative,jewellery,bone,Kimironko,66037,ART-004
RW-1304,Rwandan Beaded Necklace,Colorful beaded necklace handmade by Kigali women cooperative artisans,jewellery,wood,Kicukiro,98869,ART-005
RW-1305,Copper Bangle Rwanda,Hand-beaten copper bangle made by local Rwandan artisans,jewellery,beads,Gasabo,76707,ART-006
RW-1306,Silver Earrings Kigali,Elegant silver earrings crafted by skilled Rwandan jewelers cooperative,jewellery,silver,Musanze,43352,ART-007
RW-1307,Bone Bracelet Rwanda,Traditional bone bracelet handcarved by skilled Rwanda artisan,jewellery,copper,Huye,116867,ART-008
RW-1308,Wooden Bead Necklace,Natural wooden bead necklace from sustainable Rwandan forest materials,jewellery,bone,Rubavu,144401,ART-009
RW-1309,Beaded Anklet Kigali,Colorful beaded anklet handmade in Kigali cooperative workshop,jewellery,wood,Muhanga,81303,ART-010
RW-1310,Copper Ring Rwanda,Handcrafted copper ring made by skilled Kigali artisans,jewellery,beads,Kimironko,140658,ART-011
RW-1311,Beaded Hair Pins,Traditional beaded hair pins made by Rwandan women cooperative,jewellery,silver,Kicukiro,4050,ART-012
RW-1312,Rwandan Beaded Necklace,Colorful beaded necklace handmade by Kigali women cooperative artisans,jewellery,copper,Gasabo,147385,ART-013
RW-1313,Copper Bangle Rwanda,Hand-beaten copper bangle made by local Rwandan artisans,jewellery,bone,Musanze,80480,ART-014
RW-1314,Silver Earrings Kigali,Elegant silver earrings crafted by skilled Rwandan jewelers cooperative,jewellery,wood,Huye,29154,ART-015
RW-1315,Bone Bracelet Rwanda,Traditional bone bracelet handcarved by skilled Rwanda artisan,jewellery,beads,Rubavu,37203,ART-016
RW-1316,Wooden Bead Necklace,Natural wooden bead necklace from sustainable Rwandan forest materials,jewellery,silver,Muhanga,71328,ART-017
RW-1317,Beaded Anklet Kigali,Colorful beaded anklet handmade in Kigali cooperative workshop,jewellery,copper,Kimironko,32258,ART-018
RW-1318,Copper Ring Rwanda,Handcrafted copper ring made by skilled Kigali artisans,jewellery,bone,Kicukiro,30058,ART-019
RW-1319,Beaded Hair Pins,Traditional beaded hair pins made by Rwandan women cooperative,jewellery,wood,Gasabo,147024,ART-020
RW-1320,Imigongo Wall Art,Traditional Rwandan Imigongo geometric wall art handpainted by local artist,home-decor,wood,Kimironko,42749,ART-021
RW-1321,Clay Cooking Pot Rwanda,Traditional Rwandan clay cooking pot handmade by Huye potters cooperative,home-decor,clay,Kicukiro,73394,ART-022
RW-1322,Wooden Serving Bowl,Hand-carved wooden serving bowl from Rwandan mahogany by local artisan,home-decor,sisal,Gasabo,75860,ART-023
RW-1323,Sisal Table Mat,Eco-friendly sisal table mat woven by local Rwandan cooperative,home-decor,papyrus,Musanze,57215,ART-024
RW-1324,Papyrus Lampshade,Beautiful papyrus lampshade handwoven by Rubavu artisans,home-decor,recycled,Huye,91884,ART-025
RW-1325,Recycled Metal Sculpture,Artistic metal sculpture made from recycled materials by Kigali artisan,home-decor,wood,Rubavu,55371,ART-026
RW-1326,Clay Tea Set Rwanda,Traditional clay tea set handmade by skilled Huye potters,home-decor,clay,Muhanga,71201,ART-027
RW-1327,Wooden Photo Frame,Hand-carved wooden photo frame from sustainable Rwandan timber,home-decor,sisal,Kimironko,134489,ART-028
RW-1328,Imigongo Wall Art,Traditional Rwandan Imigongo geometric wall art handpainted by local artist,home-decor,papyrus,Kicukiro,130065,ART-029
RW-1329,Clay Cooking Pot Rwanda,Traditional Rwandan clay cooking pot handmade by Huye potters cooperative,home-decor,recycled,Gasabo,67829,ART-030
RW-1330,Wooden Serving Bowl,Hand-carved wooden serving bowl from Rwandan mahogany by local artisan,home-decor,wood,Musanze,15316,ART-031
RW-1331,Sisal Table Mat,Eco-friendly sisal table mat woven by local Rwandan cooperative,home-decor,clay,Huye,26195,ART-032
RW-1332,Papyrus Lampshade,Beautiful papyrus lampshade handwoven by Rubavu artisans,home-decor,sisal,Rubavu,113037,ART-033
RW-1333,Recycled Metal Sculpture,Artistic metal sculpture made from recycled materials by Kigali artisan,home-decor,papyrus,Muhanga,74530,ART-034
RW-1334,Clay Tea Set Rwanda,Traditional clay tea set handmade by skilled Huye potters,home-decor,recycled,Kimironko,13557,ART-035
RW-1335,Wooden Photo Frame,Hand-carved wooden photo frame from sustainable Rwandan timber,home-decor,wood,Kicukiro,2929,ART-036
RW-1336,Imigongo Wall Art,Traditional Rwandan Imigongo geometric wall art handpainted by local artist,home-decor,clay,Gasabo,89439,ART-037
RW-1337,Clay Cooking Pot Rwanda,Traditional Rwandan clay cooking pot handmade by Huye potters cooperative,home-decor,sisal,Musanze,36293,ART-038
RW-1338,Wooden Serving Bowl,Hand-carved wooden serving bowl from Rwandan mahogany by local artisan,home-decor,papyrus,Huye,70670,ART-039
RW-1339,Sisal Table Mat,Eco-friendly sisal table mat woven by local Rwandan cooperative,home-decor,recycled,Rubavu,44357,ART-040
RW-1340,Papyrus Lampshade,Beautiful papyrus lampshade handwoven by Rubavu artisans,home-decor,wood,Muhanga,117824,ART-041
RW-1341,Recycled Metal Sculpture,Artistic metal sculpture made from recycled materials by Kigali artisan,home-decor,clay,Kimironko,146619,ART-042
RW-1342,Clay Tea Set Rwanda,Traditional clay tea set handmade by skilled Huye potters,home-decor,sisal,Kicukiro,114115,ART-043
RW-1343,Wooden Photo Frame,Hand-carved wooden photo frame from sustainable Rwandan timber,home-decor,papyrus,Gasabo,149038,ART-044
RW-1344,Imigongo Wall Art,Traditional Rwandan Imigongo geometric wall art handpainted by local artist,home-decor,recycled,Musanze,4534,ART-045
RW-1345,Clay Cooking Pot Rwanda,Traditional Rwandan clay cooking pot handmade by Huye potters cooperative,home-decor,wood,Huye,31327,ART-046
RW-1346,Wooden Serving Bowl,Hand-carved wooden serving bowl from Rwandan mahogany by local artisan,home-decor,clay,Rubavu,21724,ART-047
RW-1347,Sisal Table Mat,Eco-friendly sisal table mat woven by local Rwandan cooperative,home-decor,sisal,Muhanga,41073,ART-048
RW-1348,Papyrus Lampshade,Beautiful papyrus lampshade handwoven by Rubavu artisans,home-decor,papyrus,Kimironko,145023,ART-049
RW-1349,Recycled Metal Sculpture,Artistic metal sculpture made from recycled materials by Kigali artisan,home-decor,recycled,Kicukiro,11444,ART-050
RW-1350,Clay Tea Set Rwanda,Traditional clay tea set handmade by skilled Huye potters,home-decor,wood,Gasabo,98787,ART-001
RW-1351,Wooden Photo Frame,Hand-carved wooden photo frame from sustainable Rwandan timber,home-decor,clay,Musanze,146841,ART-002
RW-1352,Imigongo Wall Art,Traditional Rwandan Imigongo geometric wall art handpainted by local artist,home-decor,sisal,Huye,40821,ART-003
RW-1353,Clay Cooking Pot Rwanda,Traditional Rwandan clay cooking pot handmade by Huye potters cooperative,home-decor,papyrus,Rubavu,114666,ART-004
RW-1354,Wooden Serving Bowl,Hand-carved wooden serving bowl from Rwandan mahogany by local artisan,home-decor,recycled,Muhanga,35409,ART-005
RW-1355,Sisal Table Mat,Eco-friendly sisal table mat woven by local Rwandan cooperative,home-decor,wood,Kimironko,12965,ART-006
RW-1356,Papyrus Lampshade,Beautiful papyrus lampshade handwoven by Rubavu artisans,home-decor,clay,Kicukiro,82808,ART-007
RW-1357,Recycled Metal Sculpture,Artistic metal sculpture made from recycled materials by Kigali artisan,home-decor,sisal,Gasabo,97591,ART-008
RW-1358,Clay Tea Set Rwanda,Traditional clay tea set handmade by skilled Huye potters,home-decor,papyrus,Musanze,12458,ART-009
RW-1359,Wooden Photo Frame,Hand-carved wooden photo frame from sustainable Rwandan timber,home-decor,recycled,Huye,95797,ART-010
RW-1360,Imigongo Wall Art,Traditional Rwandan Imigongo geometric wall art handpainted by local artist,home-decor,wood,Rubavu,57070,ART-011
RW-1361,Clay Cooking Pot Rwanda,Traditional Rwandan clay cooking pot handmade by Huye potters cooperative,home-decor,clay,Muhanga,67412,ART-012
RW-1362,Wooden Serving Bowl,Hand-carved wooden serving bowl from Rwandan mahogany by local artisan,home-decor,sisal,Kimironko,28946,ART-013
RW-1363,Sisal Table Mat,Eco-friendly sisal table mat woven by local Rwandan cooperative,home-decor,papyrus,Kicukiro,94714,ART-014
RW-1364,Papyrus Lampshade,Beautiful papyrus lampshade handwoven by Rubavu artisans,home-decor,recycled,Gasabo,148770,ART-015
RW-1365,Recycled Metal Sculpture,Artistic metal sculpture made from recycled materials by Kigali artisan,home-decor,wood,Musanze,108529,ART-016
RW-1366,Clay Tea Set Rwanda,Traditional clay tea set handmade by skilled Huye potters,home-decor,clay,Huye,42515,ART-017
RW-1367,Wooden Photo Frame,Hand-carved wooden photo frame from sustainable Rwandan timber,home-decor,sisal,Rubavu,64059,ART-018
RW-1368,Imigongo Wall Art,Traditional Rwandan Imigongo geometric wall art handpainted by local artist,home-decor,papyrus,Muhanga,44598,ART-019
RW-1369,Clay Cooking Pot Rwanda,Traditional Rwandan clay cooking pot handmade by Huye potters cooperative,home-decor,recycled,Kimironko,48413,ART-020
RW-1370,Wooden Serving Bowl,Hand-carved wooden serving bowl from Rwandan mahogany by local artisan,home-decor,wood,Kicukiro,110080,ART-021
RW-1371,Sisal Table Mat,Eco-friendly sisal table mat woven by local Rwandan cooperative,home-decor,clay,Gasabo,8497,ART-022
RW-1372,Papyrus Lampshade,Beautiful papyrus lampshade handwoven by Rubavu artisans,home-decor,sisal,Musanze,49018,ART-023
RW-1373,Recycled Metal Sculpture,Artistic metal sculpture made from recycled materials by Kigali artisan,home-decor,papyrus,Huye,89080,ART-024
RW-1374,Clay Tea Set Rwanda,Traditional clay tea set handmade by skilled Huye potters,home-decor,recycled,Rubavu,109928,ART-025
RW-1375,Wooden Photo Frame,Hand-carved wooden photo frame from sustainable Rwandan timber,home-decor,wood,Muhanga,67055,ART-026
RW-1376,Imigongo Wall Art,Traditional Rwandan Imigongo geometric wall art handpainted by local artist,home-decor,clay,Kimironko,71941,ART-027
RW-1377,Clay Cooking Pot Rwanda,Traditional Rwandan clay cooking pot handmade by Huye potters cooperative,home-decor,sisal,Kicukiro,43732,ART-028
RW-1378,Wooden Serving Bowl,Hand-carved wooden serving bowl from Rwandan mahogany by local artisan,home-decor,papyrus,Gasabo,30336,ART-029
RW-1379,Sisal Table Mat,Eco-friendly sisal table mat woven by local Rwandan cooperative,home-decor,recycled,Musanze,102281,ART-030
RW-1380,Papyrus Lampshade,Beautiful papyrus lampshade handwoven by Rubavu artisans,home-decor,wood,Huye,12151,ART-031
RW-1381,Recycled Metal Sculpture,Artistic metal sculpture made from recycled materials by Kigali artisan,home-decor,clay,Rubavu,125388,ART-032
RW-1382,Clay Tea Set Rwanda,Traditional clay tea set handmade by skilled Huye potters,home-decor,sisal,Muhanga,60309,ART-033
RW-1383,Wooden Photo Frame,Hand-carved wooden photo frame from sustainable Rwandan timber,home-decor,papyrus,Kimironko,54316,ART-034
RW-1384,Imigongo Wall Art,Traditional Rwandan Imigongo geometric wall art handpainted by local artist,home-decor,recycled,Kicukiro,122665,ART-035
RW-1385,Clay Cooking Pot Rwanda,Traditional Rwandan clay cooking pot handmade by Huye potters cooperative,home-decor,wood,Gasabo,93660,ART-036
RW-1386,Wooden Serving Bowl,Hand-carved wooden serving bowl from Rwandan mahogany by local artisan,home-decor,clay,Musanze,82003,ART-037
RW-1387,Sisal Table Mat,Eco-friendly sisal table mat woven by local Rwandan cooperative,home-decor,sisal,Huye,61662,ART-038
RW-1388,Papyrus Lampshade,Beautiful papyrus lampshade handwoven by Rubavu artisans,home-decor,papyrus,Rubavu,60438,ART-039
RW-1389,Recycled Metal Sculpture,Artistic metal sculpture made from recycled materials by Kigali artisan,home-decor,recycled,Muhanga,8203,ART-040
RW-1390,Clay Tea Set Rwanda,Traditional clay tea set handmade by skilled Huye potters,home-decor,wood,Kimironko,52627,ART-041
RW-1391,Wooden Photo Frame,Hand-carved wooden photo frame from sustainable Rwandan timber,home-decor,clay,Kicukiro,106455,ART-042
RW-1392,Imigongo Wall Art,Traditional Rwandan Imigongo geometric wall art handpainted by local artist,home-decor,sisal,Gasabo,88051,ART-043
RW-1393,Clay Cooking Pot Rwanda,Traditional Rwandan clay cooking pot handmade by Huye potters cooperative,home-decor,papyrus,Musanze,75034,ART-044
RW-1394,Wooden Serving Bowl,Hand-carved wooden serving bowl from Rwandan mahogany by local artisan,home-decor,recycled,Huye,20198,ART-045
RW-1395,Sisal Table Mat,Eco-friendly sisal table mat woven by local Rwandan cooperative,home-decor,wood,Rubavu,75170,ART-046
RW-1396,Papyrus Lampshade,Beautiful papyrus lampshade handwoven by Rubavu artisans,home-decor,clay,Muhanga,94050,ART-047
RW-1397,Recycled Metal Sculpture,Artistic metal sculpture made from recycled materials by Kigali artisan,home-decor,sisal,Kimironko,135537,ART-048
RW-1398,Clay Tea Set Rwanda,Traditional clay tea set handmade by skilled Huye potters,home-decor,papyrus,Kicukiro,106773,ART-049
RW-1399,Wooden Photo Frame,Hand-carved wooden photo frame from sustainable Rwandan timber,home-decor,recycled,Gasabo,142565,ART-050
